Model,mAP50,mAP50-95,Precision,Recall,Model_Size_MB,Inference_Time_ms,Parameters_M,FLOPs_G
YOLOv8n,0.9226,0.69231,0.89177,0.87529,5.957980155944824,2.1,3.0,8.1
YOLOv8s,0.94402,0.74815,0.93244,0.89051,21.474764823913574,23.616886138916016,11.1,28.6
